peakNO,accession,mz,rt,stats,xref,candidate,exact_mass,theoretical_precursor,precursor_type,structure,Attn_w,nH2O_w,err,Sugar_n,Acid_n,cou,DDMP,fer,hex,hexA,mal,pen,sin,dhex,aglycone,ion1,ion2,ion3,ion4,ion5,glycosyl1,glycosyl2,glycosyl3,glycosyl4,glycosyl5,topMs2
112,,622.3728,0,2 candidates,,"3,3-Dimethoxy-17-hydroxy-spirostan-3-al-12-one",622.3728,490.33054114,[M]-,NA,150.05282357,18.01056471,1.81746704853973,1,0,0,0,0,0,0,0,1,0,0,False,,,,,,,,,,,187.0984; 692.2272; 169.0893
112,,622.3728,0,2 candidates,,"22-Methoxy-furost-5-en-3,26-diol",622.3728,446.34071186,[M]-,NA,194.04265285,18.01056471,1.80255631709459,1,0,0,0,0,0,1,0,0,0,0,False,,,,,,,,,,,187.0984; 692.2272; 169.0893
113,,664.4198,0,1 candidates,,Furost-20(22)-en-26-ol,664.4198,400.33528228,[M]-,NA,300.10564714,36.02112942,1.74931877890314,2,0,0,0,0,0,0,0,2,0,0,False,,,,,,,,,,,255.2319; 125.0958; 201.1115
114,,694.4301,0,4 candidates,,Spirostan-3-ol,694.4301,416.32993221,[M]-,NA,314.12129721,36.02112942,1.29921092448383,2,0,0,0,0,0,0,0,1,0,1,False,,,,,,,,,,,255.2347; 171.1042; 255.2419
114,,694.4301,0,4 candidates,,"Furost-20(22)-en-3,26-diol",694.4301,416.32993221,[M]-,NA,314.12129721,36.02112942,1.29921092448383,2,0,0,0,0,0,0,0,1,0,1,False,,,,,,,,,,,255.2347; 171.1042; 255.2419
114,,694.4301,0,4 candidates,,Sarsasapogenin,694.4301,416.32993221,[M]-,NA,314.12129721,36.02112942,1.29921092448383,2,0,0,0,0,0,0,0,1,0,1,False,,,,,,,,,,,255.2347; 171.1042; 255.2419
114,,694.4301,0,4 candidates,,Furost-20(22)-en-26-ol,694.4301,400.33501757,[M]-,NA,330.11621185,36.02112942,1.29252916908679,2,0,0,0,0,1,0,0,1,0,0,False,,,,,,,,,,,255.2347; 171.1042; 255.2419
118,,415.3207,0,3 candidates,,Spirostan-3-ol,416.327976,415.3207,[M-H]-,NA,0,0,2.53165146809615,0,0,0,0,0,0,0,0,0,0,0,True,415.3214 *[Agly-H]-,,,,,,,,,,415.3214; 145.031; 117.0315
118,,415.3207,0,3 candidates,,"Furost-20(22)-en-3,26-diol",416.327976,415.3207,[M-H]-,NA,0,0,2.53165146809615,0,0,0,0,0,0,0,0,0,0,0,True,415.3214 *[Agly-H]-,,,,,,,,,,415.3214; 145.031; 117.0315
118,,415.3207,0,3 candidates,,Sarsasapogenin,416.327976,415.3207,[M-H]-,NA,0,0,2.53165146809615,0,0,0,0,0,0,0,0,0,0,0,True,415.3214 *[Agly-H]-,,,,,,,,,,415.3214; 145.031; 117.0315
